h,t,exacta,segunda_derivada,error
1,3.73,0.831826,0.764777,0.067049
1,3.74,0.826234,0.759636,0.0665983
1,3.75,0.820559,0.754418,0.0661409
1,3.76,0.814803,0.749126,0.0656769
1,3.77,0.808965,0.743758,0.0652063
1,3.78,0.803046,0.738317,0.0647292
1,3.79,0.797047,0.732801,0.0642456
1,3.8,0.790968,0.727212,0.0637556
1,3.81,0.78481,0.72155,0.0632593
1,3.82,0.778573,0.715817,0.0627566
1,3.83,0.772259,0.710011,0.0622476
1,3.84,0.765867,0.704135,0.0617324
1,3.85,0.759399,0.698188,0.0612111
1,3.86,0.752855,0.692171,0.0606836
1,3.87,0.746236,0.686086,0.06015
1,3.88,0.739542,0.679931,0.0596105
1,3.89,0.732774,0.673709,0.0590649
1,3.9,0.725932,0.667419,0.0585135
1,3.91,0.719018,0.661062,0.0579562
1,3.92,0.712033,0.65464,0.0573931
1,3.93,0.704976,0.648151,0.0568243
1,3.94,0.697848,0.641599,0.0562498
1,3.95,0.690651,0.634981,0.0556697
1,3.96,0.683385,0.628301,0.055084
1,3.97,0.67605,0.621557,0.0544928
1,3.98,0.668648,0.614752,0.0538961
1,3.99,0.661179,0.607885,0.0532941
1,4,0.653644,0.600957,0.0526867
1,4.01,0.646043,0.593969,0.052074
1,4.02,0.638378,0.586922,0.0514562
1,4.03,0.630649,0.579816,0.0508332
1,4.04,0.622857,0.572652,0.0502051
1,4.05,0.615002,0.56543,0.049572
1,4.06,0.607087,0.558153,0.048934
1,4.07,0.59911,0.550819,0.048291
1,4.08,0.591073,0.54343,0.0476432
1,4.09,0.582978,0.535987,0.0469907
1,4.1,0.574824,0.52849,0.0463335
1,4.11,0.566613,0.520941,0.0456716
1,4.12,0.558345,0.513339,0.0450051
1,4.13,0.550021,0.505686,0.0443342
1,4.14,0.541642,0.497983,0.0436588
1,4.15,0.533209,0.49023,0.0429791
1,4.16,0.524722,0.482427,0.042295
1,4.17,0.516184,0.474577,0.0416068
1,4.18,0.507593,0.466679,0.0409143
1,4.19,0.498952,0.458734,0.0402178
1,4.2,0.490261,0.450744,0.0395173
1,4.21,0.481521,0.442708,0.0388128
1,4.22,0.472732,0.434628,0.0381044
1,4.23,0.463897,0.426505,0.0373922
1,4.24,0.455015,0.418339,0.0366763
1,4.25,0.446087,0.410131,0.0359567
1,4.26,0.437115,0.401882,0.0352335
1,4.27,0.4281,0.393593,0.0345068
1,4.28,0.419041,0.385264,0.0337766
1,4.29,0.409941,0.376898,0.0330431
1,4.3,0.400799,0.368493,0.0323063
1,4.31,0.391618,0.360051,0.0315662
1,4.32,0.382397,0.351574,0.030823
1,4.33,0.373138,0.343061,0.0300766
1,4.34,0.363842,0.334514,0.0293273
1,4.35,0.354509,0.325934,0.0285751
1,4.36,0.345141,0.317321,0.02782
1,4.37,0.335738,0.308676,0.0270621
1,4.38,0.326302,0.300001,0.0263015
1,4.39,0.316833,0.291295,0.0255382
1,4.4,0.307333,0.28256,0.0247724
1,4.41,0.297802,0.273797,0.0240042
1,4.42,0.288241,0.265007,0.0232335
1,4.43,0.278651,0.25619,0.0224605
1,4.44,0.269033,0.247348,0.0216853
1,4.45,0.259389,0.238481,0.0209079
1,4.46,0.249718,0.22959,0.0201284
1,4.47,0.240022,0.220676,0.0193469
1,4.48,0.230303,0.211739,0.0185635
1,4.49,0.22056,0.202782,0.0177782
1,4.5,0.210796,0.193805,0.0169911
1,4.51,0.20101,0.184808,0.0162023
1,4.52,0.191204,0.175792,0.015412
1,4.53,0.181379,0.166759,0.01462
1,4.54,0.171536,0.15771,0.0138266
1,4.55,0.161676,0.148644,0.0130318
1,4.56,0.1518,0.139564,0.0122358
1,4.57,0.141908,0.13047,0.0114385
1,4.58,0.132003,0.121363,0.01064
1,4.59,0.122084,0.112243,0.00984051
1,4.6,0.112153,0.103113,0.00904001
1,4.61,0.10221,0.0939716,0.00823861
