h,t,exacta,forward,central,extrapolada,error_forward,error_central,error_extrapolada
1,-4.05,6.09494e-07,9.11207e-05,3.36257e-06,2.82354e-07,9.05112e-05,2.75308e-06,3.27141e-07
1,-4.04,6.5922e-07,9.68408e-05,3.60961e-06,3.10387e-07,9.61816e-05,2.95039e-06,3.48833e-07
1,-4.03,7.12856e-07,0.000102899,3.87403e-06,3.40983e-07,0.000102187,3.16117e-06,3.71873e-07
1,-4.02,7.70697e-07,0.000109315,4.15698e-06,3.74358e-07,0.000108544,3.38628e-06,3.96338e-07
1,-4.01,8.33059e-07,0.000116107,4.4597e-06,4.10749e-07,0.000115274,3.62664e-06,4.2231e-07
1,-4,9.00281e-07,0.000123297,4.78351e-06,4.50407e-07,0.000122397,3.88323e-06,4.49874e-07
1,-3.99,9.72728e-07,0.000130906,5.12981e-06,4.93608e-07,0.000129933,4.15708e-06,4.7912e-07
1,-3.98,1.05079e-06,0.000138957,5.50007e-06,5.40645e-07,0.000137906,4.44929e-06,5.10142e-07
1,-3.97,1.13488e-06,0.000147473,5.89588e-06,5.91837e-07,0.000146338,4.76101e-06,5.4304e-07
1,-3.96,1.22544e-06,0.000156479,6.31891e-06,6.47526e-07,0.000155254,5.09347e-06,5.77916e-07
1,-3.95,1.32296e-06,0.000166002,6.77094e-06,7.08081e-07,0.000164679,5.44798e-06,6.14882e-07
1,-3.94,1.42795e-06,0.00017607,7.25385e-06,7.73898e-07,0.000174642,5.8259e-06,6.5405e-07
1,-3.93,1.54095e-06,0.000186711,7.76965e-06,8.45406e-07,0.00018517,6.2287e-06,6.95541e-07
1,-3.92,1.66254e-06,0.000197955,8.32045e-06,9.23063e-07,0.000196292,6.65791e-06,7.39482e-07
1,-3.91,1.79337e-06,0.000209834,8.90853e-06,1.00736e-06,0.000208041,7.11516e-06,7.86004e-07
1,-3.9,1.93408e-06,0.000222382,9.53625e-06,1.09884e-06,0.000220448,7.60217e-06,8.35244e-07
1,-3.89,2.08541e-06,0.000235633,1.02062e-05,1.19806e-06,0.000233547,8.12076e-06,8.87349e-07
1,-3.88,2.24812e-06,0.000249623,1.0921e-05,1.30565e-06,0.000247375,8.67284e-06,9.42469e-07
1,-3.87,2.42301e-06,0.000264391,1.16835e-05,1.42225e-06,0.000261967,9.26046e-06,1.00076e-06
1,-3.86,2.61098e-06,0.000279976,1.24967e-05,1.54858e-06,0.000277365,9.88575e-06,1.0624e-06
1,-3.85,2.81294e-06,0.00029642,1.33639e-05,1.6854e-06,0.000293608,1.0551e-05,1.12754e-06
1,-3.84,3.0299e-06,0.000313768,1.42884e-05,1.83352e-06,0.000310738,1.12585e-05,1.19638e-06
1,-3.83,3.26292e-06,0.000332064,1.52738e-05,1.99381e-06,0.000328801,1.20109e-05,1.26911e-06
1,-3.82,3.51313e-06,0.000351357,1.63239e-05,2.16722e-06,0.000347844,1.28108e-05,1.34591e-06
1,-3.81,3.78175e-06,0.000371696,1.74427e-05,2.35474e-06,0.000367914,1.36609e-05,1.42701e-06
1,-3.8,4.07006e-06,0.000393134,1.86344e-05,2.55746e-06,0.000389063,1.45643e-05,1.5126e-06
1,-3.79,4.37945e-06,0.000415724,1.99036e-05,2.77653e-06,0.000411345,1.55241e-05,1.60293e-06
